time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
2016-01-04 02:28:04.870000+00:00,12.0291,93.1309,68.01,4.2,mb,us,us10004dzl
2016-01-11 06:56:37+00:00,13.5519,92.7103,35.0,4.1,mb,us,us10004ews
2016-01-14 21:36:44.330000+00:00,5.84,94.4009,87.35,4.0,mb,us,us10004fnd
2016-01-15 19:24:52.540000+00:00,11.7568,92.8636,50.41,4.3,mb,us,us10004g1b
2016-01-27 22:09:56.710000+00:00,13.7261,93.8004,88.89,4.6,mb,us,us20004v6u
2016-02-03 15:24:07.060000+00:00,10.3608,93.3475,96.08,4.4,mb,us,us20004y5a
2016-02-04 15:30:49.930000+00:00,14.2933,93.204,10.0,5.1,mb,us,us20004x3a
2016-02-17 17:34:09.180000+00:00,5.4002,94.5109,55.36,4.8,mb,us,us200050wg
2016-02-21 03:39:38.190000+00:00,6.9364,92.4103,23.56,4.8,mb,us,us10004rgq
2016-02-22 18:20:53.250000+00:00,7.122,92.1235,10.0,4.6,mb,us,us10004rsa
2016-02-27 00:31:05.120000+00:00,13.4762,93.915,98.7,4.5,mb,us,us10004t24
2016-02-28 23:11:03.470000+00:00,10.2974,93.6503,127.6,4.0,mb,us,us10004ude
2016-03-08 09:55:34.760000+00:00,9.5751,93.4345,10.0,4.4,mb,us,us10004ws1
2016-03-12 09:39:37.700000+00:00,10.3914,92.4579,27.86,4.2,mb,us,us20005a7q
2016-03-13 15:04:36.930000+00:00,10.2834,93.5317,125.89,4.3,mb,us,us20005ag9
2016-04-12 00:14:35+00:00,5.5548,95.2196,96.58,4.1,mb,us,us20005k3u
2016-04-13 14:14:03.240000+00:00,12.5623,95.1787,10.0,4.9,mb,us,us20005kel
2016-04-18 15:29:54.930000+00:00,12.9466,92.3335,37.35,4.7,mb,us,us20005ji4
2016-04-19 20:32:57.090000+00:00,10.2153,93.6895,10.0,5.3,mb,us,us20005jx7
2016-04-19 20:47:57.190000+00:00,10.2564,93.7772,42.83,4.4,mb,us,us20005jxp
2016-04-22 02:43:05.050000+00:00,9.9398,93.8287,31.38,4.5,mb,us,us20005kqe
2016-04-24 21:55:42.770000+00:00,10.2055,91.5917,22.65,4.3,mb,us,us10005dnx
2016-05-09 16:00:22.140000+00:00,11.2676,91.4012,10.0,4.3,mb,us,us10005i7u
2016-05-09 16:03:47.250000+00:00,11.3506,91.5047,10.0,5.2,mb,us,us10005g2n
2016-05-22 22:32:36.380000+00:00,10.2558,92.2057,30.04,4.1,mb,us,us20005yjx
2016-05-29 08:20:04.370000+00:00,5.0106,96.2606,49.26,4.4,mb,us,us2000601g
2016-06-13 00:16:58.710000+00:00,6.3836,94.3554,70.26,4.2,mb,us,us200065hs
2016-07-13 17:56:32.830000+00:00,12.0821,95.1704,10.0,4.5,mb,us,us20006fub
2016-07-24 15:33:07.260000+00:00,12.7303,93.3143,62.76,4.4,mb,us,us20006h9w
2016-07-24 23:09:49.190000+00:00,14.9748,96.4342,27.75,5.0,mb,us,us1000680u
2016-08-11 10:52:26.170000+00:00,7.59,93.6584,39.63,4.5,mb,us,us10006cwk
2016-08-11 10:55:13.190000+00:00,7.7291,93.6872,40.99,4.8,mb,us,us10006cwl
2016-08-18 01:39:38.800000+00:00,7.4749,94.2706,112.31,4.3,mb,us,us10006gc7
2016-08-18 18:23:56.270000+00:00,11.9017,93.5881,107.98,4.6,mb,us,us10006gdk
2016-08-26 18:20:45.580000+00:00,9.2319,93.9606,10.0,4.7,mb,us,us20006ubt
2016-08-26 18:22:55.880000+00:00,9.1191,94.4457,10.0,4.4,mb,us,us20006ves
2016-08-26 18:24:21.040000+00:00,9.0105,95.5605,14.46,4.5,mb,us,us20006ver
2016-09-04 22:28:38.650000+00:00,13.5061,92.7137,31.34,4.2,mb,us,us10006kdx
2016-09-08 23:35:06.290000+00:00,8.6016,93.8842,80.77,4.5,mb,us,us10006n7k
2016-09-11 00:24:22.700000+00:00,5.2916,94.0253,35.0,4.2,mb,us,us10006q52
2016-09-11 05:07:48.670000+00:00,9.8342,93.2204,75.1,4.6,mb,us,us10006nsf
2016-09-13 11:59:49.020000+00:00,10.2454,91.637,27.71,4.7,mb,us,us10006r4n
2016-09-15 02:30:46.460000+00:00,10.1636,91.7111,20.94,5.0,mb,us,us10006pnx
2016-09-16 05:18:49.780000+00:00,12.8909,92.492,29.95,4.3,mb,us,us10006s0d
2016-09-18 23:39:09.760000+00:00,8.1628,92.2383,30.06,4.3,mb,us,us10006t9z
2016-09-19 12:57:31.930000+00:00,10.3504,92.6927,33.56,4.6,mb,us,us10006ttk
2016-09-20 09:10:11.230000+00:00,13.301,93.048,35.0,4.3,mb,us,us10006tvk
2016-09-23 22:27:23.980000+00:00,8.3937,94.3791,35.0,4.9,mb,us,us10006s4n
2016-09-26 19:04:19.150000+00:00,8.3699,94.2744,35.0,4.6,mb,us,us10006sx9
2016-10-25 22:00:26.020000+00:00,7.0673,92.4518,10.0,4.9,mb,us,us20007gqu
2016-10-30 16:26:35.110000+00:00,8.1719,94.3373,54.26,4.5,mb,us,us1000743p
2016-11-11 16:20:10.360000+00:00,7.1537,92.0147,28.66,4.1,mb,us,us100079ba
2016-11-13 21:22:24.700000+00:00,10.6904,93.6834,8.78,4.6,mb,us,us100077fm
2016-11-25 11:17:10.660000+00:00,13.1382,93.0599,32.79,4.6,mb,us,us10007c91
2016-11-25 19:37:57.090000+00:00,7.1094,92.4447,29.37,4.4,mb,us,us10007ed2
2016-12-03 19:42:11.180000+00:00,10.9345,91.886,10.0,4.7,mb,us,us10007emp
