time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
2024-04-04 23:46:40.169000,7.9582,-38.0882,10.0,5.1,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9zx&format=quakeml
2024-04-04 23:37:28.670000,7.9741,-38.1448,10.0,5.3,mww,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9zr&format=quakeml
2024-04-04 23:18:23.674000,8.039,-38.114,10.0,5.0,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9zn&format=quakeml
2024-04-04 20:31:49.325000,41.9769,142.4449,63.264,5.0,mww,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9z0&format=quakeml
2024-04-04 16:04:32.601000,33.1698,76.816,32.436,5.0,mww,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9w5&format=quakeml
2024-04-04 07:38:05.187000,12.8955,-88.8866,54.6,5.1,mww,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9u3&format=quakeml
2024-04-04 03:16:30.313000,37.7104,141.856,29.0,6.1,mww,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9sq&format=quakeml
2024-04-04 00:39:38.283000,38.4599,90.8993,10.0,5.1,mww,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9rx&format=quakeml
2024-04-04 00:19:52.287000,-32.8864,-178.5121,10.0,5.0,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9rq&format=quakeml
2024-04-03 13:51:56.776000,-36.9529,-72.9395,35.977,5.2,mww,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9lk&format=quakeml
2024-04-03 09:02:16.573000,-5.8654,112.3387,10.0,5.1,mww,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9ke&format=quakeml
2024-04-03 04:51:22.460000,8.5051,126.6773,67.064,5.1,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9j3&format=quakeml
2024-04-03 03:32:22.685000,-10.382,-75.4725,9.277,5.0,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9ie&format=quakeml
2024-04-03 03:01:07.487000,-31.825,77.4355,10.0,5.0,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9ia&format=quakeml
2024-04-03 02:28:16.568000,24.1664,121.818,13.194,5.1,mwr,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9ht&format=quakeml
2024-04-03 02:23:27.076000,24.2305,121.6344,35.749,5.0,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mbf5&format=quakeml
2024-04-03 02:14:36.488000,24.1954,121.9338,41.798,5.7,mwr,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9hp&format=quakeml
2024-04-03 02:02:05.440000,0.9959,-85.2876,10.0,5.1,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9hl&format=quakeml
2024-04-03 01:53:57.455000,23.8817,121.5533,22.545,5.1,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9hk&format=quakeml
2024-04-03 01:49:38.775000,23.8897,121.8988,10.0,5.1,mb,USGS,quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m9hh&format=quakeml
