time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
2015-01-01T21:18:15.720,38.3647,-122.6068,7.4,2.7,ML,NCEDC,610574953
2015-01-04T03:18:09.626,34.608,-118.6246,8.6,4.2,Mwr,ISC,606490582
2015-01-04T09:56:43.853,41.8368,-119.6096,10.0,4.1,Mwr,ISC,606495076
2015-01-14T10:44:33.818,40.3828,-124.5074,9.9,4.3,Mwr,ISC,610575312
2015-01-20T13:21:36.457,36.3428,-120.9852,7.6,4.4,Mwr,ISC,606589303
2015-01-22T09:09:17.819,41.9372,-119.6817,6.4,4.84,MW,ISC,606590929
2015-01-28T21:08:54.017,40.3025,-124.4741,17.5,5.76,MW,ISC,606613637
2015-01-29T11:03:20.335,41.8826,-119.6477,5.3,4.3,Mwr,ISC,606615038
2015-01-29T22:38:12.400,36.5181,-114.4937,2.6,3.1,ML,NEIC,606626798
2015-02-09T15:43:25.640,38.8283,-122.8503,3.0,3.0,ML,NCEDC,610586119
2015-02-14T02:28:56.275,37.1408,-117.2172,8.9,4.93,MW,ISC,606725911
2015-02-26T19:17:49.910,41.9356,-119.5525,10.0,4.16,mb,ISC,606751293
2015-02-27T00:46:57.800,32.202,-117.636,19.1,3.0,ML,ECX,610779069
2015-02-28T10:41:36.457,38.905,-115.4262,10.0,3.8,Mwr,ISC,606758168
2015-03-03T03:18:08.800,38.8202,-122.8405,2.8,2.7,ML,NCEDC,610586559
2015-03-16T03:07:29.100,32.103,-116.096,20.0,3.0,MD,MEX,609974538
2015-03-23T23:11:31.940,34.4902,-118.7688,21.4,3.0,ML,ANF,612112731
2015-03-27T13:30:14.950,36.205,-120.4246,11.9,4.1,Mwr,ISC,610587153
2015-04-02T07:06:03.870,37.792,-121.9868,10.0,3.6,Mwr,NCEDC,610587344
2015-04-07T02:13:24.700,32.035,-116.067,18.2,3.2,MD,MEX,609975237
2015-04-08T19:23:14.500,32.3952,-115.2072,12.7,3.58,MS,ISC,610587514
2015-04-08T19:30:26.905,32.3904,-115.2681,11.7,3.43,mb,ISC,606991875
2015-04-19T21:28:27.710,35.5747,-120.8583,5.1,3.2,ML,NCEDC,607175542
2015-04-27T08:48:06.800,35.7033,-121.0548,9.8,3.1,ML,NCEDC,607211849
2015-04-28T00:53:03.380,39.2703,-122.7557,12.8,3.2,ML,NCEDC,610587927
2015-04-29T09:36:56.740,37.0578,-118.269,6.8,2.9,ML,NCEDC,607215163
2015-04-29T10:56:09.900,32.058,-116.143,20.0,1.9,ML,MEX,608554261
2015-04-29T19:09:45.930,37.0533,-118.2688,7.0,2.5,ML,NCEDC,610587963
2015-05-14T08:16:56.700,32.426,-117.329,3.0,3.2,MD,MEX,609978564
2015-05-18T12:21:37.300,32.086,-115.307,3.0,3.2,MD,MEX,609978684
2015-05-19T18:36:04.257,36.6574,-120.8977,13.0,3.8,Mwr,ISC,610588443
2015-05-22T02:53:00.232,38.4479,-122.2024,8.2,4.1,Mwr,ISC,607256496
2015-05-22T08:41:09.520,35.6872,-121.1163,4.7,3.2,ML,NCEDC,607256509
2015-05-22T18:47:43.205,37.3335,-114.6505,6.0,4.97,MW,ISC,610634742
2015-05-26T10:17:36.855,40.6066,-124.5986,25.0,4.3,Mwr,ISC,610634830
2015-06-01T14:40:21.710,35.8518,-117.6919,11.9,3.0,ML,ANF,612113035
2015-06-07T14:19:38.160,36.6662,-121.2913,5.8,3.1,ML,NCEDC,607285994
2015-07-02T18:55:29.200,32.499,-115.107,21.3,3.9,MD,MEX,609979877
2015-07-03T08:52:28.600,32.464,-115.515,16.0,3.2,MD,MEX,609979903
2015-07-08T06:17:34.900,33.134,-117.288,20.0,3.5,MD,MEX,609980062
2015-07-10T18:04:40.800,32.996,-117.038,9.0,3.4,MD,MEX,609980137
2015-07-16T01:52:10.740,41.8775,-119.6168,2.6,4.5,Mwr,ISC,607466912
2015-07-16T01:57:26.185,41.9068,-119.6454,2.5,4.0,Mwr,ISC,610635890
2015-07-21T09:41:14.371,37.5358,-121.9993,11.1,4.0,Mwr,ISC,607503387
2015-07-27T01:05:33.244,41.8151,-119.6302,1.8,4.6,Mwr,ISC,607508131
2015-08-09T20:26:10.610,37.786,-122.592,10.7,3.1,ML,NCEDC,611935001
2015-08-17T13:49:17.469,37.8227,-122.2756,10.8,4.0,Mwr,ISC,607668040
2015-08-20T07:50:59.700,32.478,-115.867,14.7,3.5,MD,MEX,609981136
2015-08-23T17:41:19.402,38.7463,-122.7056,10.0,3.8,Mwr,ISC,607676843
2015-08-26T12:17:56.200,32.236,-116.03,10.0,3.5,MD,MEX,609981287
2015-08-29T08:13:14.110,39.481,-123.5968,5.9,3.6,Mwr,NCEDC,610637046
2015-09-11T05:34:25.400,33.036,-116.541,16.0,3.5,MD,MEX,609981677
2015-09-14T13:55:47.990,41.8571,-119.5881,7.6,4.89,MW,ISC,607739792
2015-09-16T12:37:20.800,32.762,-116.256,5.1,3.4,MD,MEX,609981857
2015-09-27T02:44:00.526,41.8669,-119.5798,0.4,4.1,Mwr,ISC,607832233
2015-09-29T00:02:27.430,41.6363,-119.2965,2.4,3.2,ML,ANF,612069640
2015-10-20T16:40:20.100,32.394,-115.261,7.2,2.7,ML,ECX,607924253
2015-10-29T00:08:44.800,32.634,-115.587,16.5,3.2,MD,MEX,609983115
2015-10-29T03:03:47.800,32.843,-114.873,7.4,3.7,MD,MEX,609983124
2015-10-29T16:47:39.817,41.8929,-119.5852,1.5,3.9,Mwr,ISC,607998476
2015-11-06T03:30:37.740,33.759,-119.158,14.2,3.0,ML,ANF,610518199
2015-11-18T04:41:33.330,34.1646,-117.4358,8.8,3.5,ML,ANF,612370869
2015-11-19T01:40:03.453,41.8902,-119.5833,10.0,4.3,Mwr,ISC,608037227
