time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
1451440514000,34.188,-117.41,7.3,3.02,ml,USGS,ci37507608
1451440425550,34.1876667,-117.408,8.49,3.77,mw,USGS,ci37507592
1451440137310,34.191,-117.4131667,6.98,4.4,mw,USGS,ci37507576
1451418715210,36.1461667,-117.9816667,0.82,3,ml,USGS,ci37507424
1451397822273,41.8772,-119.6096,10,3.3,mw,USGS,nn00524465
1451395980401,41.8763,-119.6054,7.2,3.3,mw,USGS,nn00524463
1451395413913,41.8743,-119.6072,8.9,3.5,ml,USGS,nn00524459
1451370676895,41.872,-119.6075,9.7,3.4,mw,USGS,nn00524430
1451315430588,41.4562,-118.905,17.7,4.1,ml,USGS,nn00524306
1451315019289,41.4572,-118.9286,17,3.4,mw,USGS,nn00524304
1451241078030,35.2143333,-117.2815,3.17,4.25,mw,USGS,ci37506472
1451163744924,41.891,-119.6116,11.2,3.3,ml,USGS,nn00524118
1451130916430,35.2115,-117.28,2.61,3.78,mw,USGS,ci37506120
1451117071150,35.2121667,-117.2808333,3.14,3.74,mw,USGS,ci37506064
1451053150743,41.8816,-119.6241,10.8,3,ml,USGS,nn00523992
1451020665898,41.9017,-119.6105,7.2,3,ml,USGS,nn00523957
1451011009840,41.8723,-119.602,10.6,3.6,mw,USGS,nn00523923
1450995802448,41.8735,-119.6049,10.9,3.4,ml,USGS,nn00523870
1450994418879,41.8854,-119.6021,10.1,3.2,ml,USGS,nn00523863
1450989038087,41.8807,-119.5937,11.3,4.4,ml,USGS,nn00523848
1450984486450,37.411,-118.5123333,6.97,3.72,ml,USGS,nc72571551
1450854336281,39.4362,-119.7835,9.6,3.1,ml,USGS,nn00523693
1450853167342,39.4309,-119.7845,9.7,4.4,ml,USGS,nn00523696
1450853149315,39.4308,-119.7844,9.7,3,ml,USGS,nn00526746
1450852590079,39.4282,-119.7812,9.4,3,ml,USGS,nn00523682
1450851756147,39.4312,-119.7867,9.2,3.2,ml,USGS,nn00523675
1450687655122,41.8745,-119.596,9.6,3.5,mw,USGS,nn00523449
1450653752470,33.6255,-117.9023333,9.47,3.36,ml,USGS,ci37286999
1450579666080,32.0826667,-115.1661667,22.86,3.19,ml,USGS,ci37286815
1450550041356,37.2388,-115.0503,0,3,ml,USGS,nn00523315
1450547114210,37.3355,-118.7413333,15.55,3.28,ml,USGS,nc72569711
1450546609290,32.0941667,-115.1536667,26.97,3.61,ml,USGS,ci37286727
1450489547170,33.8371667,-117.0478333,13.88,3.05,ml,USGS,ci37286351
1450398060930,33.2561667,-115.7183333,3.33,3.6,mw,USGS,ci37285815
1450332644731,40.3519,-116.0689,5.2,3.4,ml,USGS,nn00523098
1450332030063,40.3692,-116.1027,0,3.2,ml,USGS,nn00523095
1450216226510,32.3931667,-115.2293333,11.78,3.33,ml,USGS,ci37502072
