time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
,-45.386893,-73.042645,6.215,3.7,,CSN,CSN_6
,-45.379045,-73.042386,6.0755,4.7,,CSN,CSN_7
,-45.413134,-73.090392,3.0505,5.0,,CSN,CSN_8
,-45.394454,-73.04335,5.4575,3.8,,CSN,CSN_9
,-45.4146,-73.060333,4.4329,3.4,,CSN,CSN_10
,-45.388424,-73.045068,5.0829,3.3,,CSN,CSN_12
,-45.383655,-73.046236,4.7762,3.5,,CSN,CSN_13
,-45.380903,-73.04859,5.3413,3.0,,CSN,CSN_14
,-45.381166,-73.046656,5.542,3.8,,CSN,CSN_16
,-45.384352,-73.030316,4.1066,3.3,,CSN,CSN_18
,-45.396449,-73.056135,3.7573,5.1,,CSN,CSN_19
,-45.385461,-73.032868,7.5138,5.3,,CSN,CSN_20
,-45.4763,-73.07775,8.5655,3.4,,CSN,CSN_21
,-45.404886,-73.072808,4.5231,3.4,,CSN,CSN_22
,-45.388949,-73.054866,7.6135,3.9,,CSN,CSN_23
,-45.393186,-73.066344,6.3616,3.5,,CSN,CSN_24
,-45.402084,-73.056666,6.5224,3.1,,CSN,CSN_25
,-45.378781,-73.039646,6.7271,4.2,,CSN,CSN_26
,-45.377434,-73.044467,6.1914,4.5,,CSN,CSN_27
,-45.331235,-73.078542,6.7219,4.3,,CSN,CSN_28
,-45.397957,-73.02412,8.9555,3.5,,CSN,CSN_29
,-45.348905,-73.041256,6.6532,3.5,,CSN,CSN_30
,-45.342687,-73.070494,6.4268,4.1,,CSN,CSN_31
,-45.381509,-73.064919,4.241,3.9,,CSN,CSN_32
,-45.378045,-73.059701,5.53,5.4,,CSN,CSN_33
,-45.39586,-73.032805,4.0066,4.0,,CSN,CSN_34
,-45.461202,-73.059698,9.3971,4.8,,CSN,CSN_35
,-45.380759,-73.012495,3.4897,3.6,,CSN,CSN_36
,-45.29367,-73.072742,3.6062,3.9,,CSN,CSN_37
,-45.393658,-73.045629,5.4632,4.6,,CSN,CSN_38
,-44.498417,-72.93748,-0.2098,3.7,,CSN,CSN_39
,-44.660838,-73.203424,1.7466,5.0,,CSN,CSN_40
,-44.685736,-73.415188,3.1783,3.4,,CSN,CSN_44
,-45.391078,-73.035266,12.4494,3.1,,CSN,CSN_101
,-45.382675,-73.031428,17.69,3.4,,CSN,CSN_112
,-45.388971,-73.049956,16.3332,3.5,,CSN,CSN_125
,-45.380287,-72.936418,3.4711,3.0,,CSN,CSN_135
,-42.879931,-72.532006,6.0404,4.2,,CSN,CSN_136
,-42.976939,-72.439852,20.5588,3.0,,CSN,CSN_203
,-42.901251,-72.502539,16.4027,3.0,,CSN,CSN_208
,-42.837748,-72.588995,7.0257,3.0,,CSN,CSN_220
,-42.912806,-72.48685,14.4197,3.0,,CSN,CSN_229
,-42.86475,-73.072744,0.1894,3.0,,CSN,CSN_234
,-42.984509,-72.371119,18.1057,3.0,,CSN,CSN_239
,-43.015918,-72.424543,17.3978,3.0,,CSN,CSN_243
,-42.890075,-72.516423,13.9397,3.1,,CSN,CSN_246
,-42.844182,-72.579131,6.1522,3.0,,CSN,CSN_249
,-42.878316,-72.498574,6.9886,3.1,,CSN,CSN_250
,-42.865892,-72.497764,1.343,3.0,,CSN,CSN_251
,-42.934018,-72.459381,11.7497,3.1,,CSN,CSN_254
,-42.813331,-72.637562,-0.4651,3.0,,CSN,CSN_255
,-42.892728,-72.523401,10.9693,3.2,,CSN,CSN_258
,-42.83999,-72.603451,7.2292,3.0,,CSN,CSN_259
,-42.851434,-72.605615,6.3196,3.0,,CSN,CSN_264
,-42.911491,-72.479725,10.1332,3.2,,CSN,CSN_268
,-42.896723,-72.549148,17.6465,3.1,,CSN,CSN_270
,-42.890159,-72.549827,15.8633,3.0,,CSN,CSN_274
,-42.897565,-72.519149,10.9084,3.2,,CSN,CSN_276
,-42.915196,-72.507299,12.8227,3.3,,CSN,CSN_279
,-42.900133,-72.498661,11.2799,3.2,,CSN,CSN_280
,-42.872747,-72.567535,12.6034,3.2,,CSN,CSN_284
,-42.852282,-72.587846,5.7032,3.2,,CSN,CSN_288
,-42.935451,-72.459596,14.4006,3.1,,CSN,CSN_290
,-42.904721,-72.513301,13.5112,3.2,,CSN,CSN_291
,-42.893296,-72.516418,13.1949,3.2,,CSN,CSN_293
,-42.890697,-72.546744,11.8444,3.1,,CSN,CSN_295
,-42.852558,-72.568834,8.6608,3.1,,CSN,CSN_296
,-42.839897,-72.602243,10.0554,3.0,,CSN,CSN_297
,-42.824026,-72.581815,7.7806,3.1,,CSN,CSN_300
,-42.925206,-72.414857,11.6763,3.3,,CSN,CSN_302
,-42.93567,-72.458068,14.6369,3.2,,CSN,CSN_305
,-42.789829,-72.688451,1.3665,3.0,,CSN,CSN_307
,-42.886238,-72.531318,14.7507,3.0,,CSN,CSN_308
,-42.87575,-72.518593,8.5801,3.1,,CSN,CSN_309
,-42.841605,-72.572274,9.8524,3.2,,CSN,CSN_312
,-42.793588,-72.689892,-0.1394,3.1,,CSN,CSN_314
,-42.837025,-72.551651,8.2999,3.2,,CSN,CSN_315
,-42.869879,-72.576759,14.6367,3.2,,CSN,CSN_316
,-42.867287,-72.562065,10.9688,3.1,,CSN,CSN_317
,-42.839848,-72.588772,8.8567,3.3,,CSN,CSN_318
,-42.823725,-72.599929,3.9245,3.1,,CSN,CSN_320
,-42.833433,-72.601377,8.2593,3.1,,CSN,CSN_321
,-42.789943,-72.676176,-0.1171,3.3,,CSN,CSN_322
,-42.847116,-72.558483,8.4014,3.2,,CSN,CSN_324
,-42.851074,-72.564232,10.5409,3.2,,CSN,CSN_329
,-42.866661,-72.509523,0.5759,3.1,,CSN,CSN_331
,-42.960564,-72.457151,14.632,3.5,,CSN,CSN_333
,-42.773486,-72.901738,0.1012,3.3,,CSN,CSN_334
,-42.917256,-72.464507,12.4711,3.1,,CSN,CSN_335
,-42.838724,-72.606963,7.5272,3.2,,CSN,CSN_341
,-42.90114,-72.469615,10.3893,3.1,,CSN,CSN_342
,-42.937788,-72.450258,9.6058,3.2,,CSN,CSN_345
,-42.886805,-72.514783,7.5813,3.1,,CSN,CSN_346
,-42.891366,-72.497671,9.8865,3.1,,CSN,CSN_347
